Country,CountryCode,Region,RegionCode,TouristArrivals,TouristEstablishments,AirPassengers,Population
Spain,ES,Basque Country,ES21,3866136,1232,6353000.0,2177880
Spain,ES,Comunidad de Madrid,ES30,13774677,1929,59747000.0,6641649
Spain,ES,Catalonia,ES51,26155473,6698,54693000.0,7566431
Spain,ES,Valencia,ES52,12363818,3990,23401000.0,4974969
Spain,ES,Islas Baleares,ES53,12425741,2772,40285000.0,1188220
Spain,ES,Andalucía,ES61,24202798,8403,30414000.0,8427405
Italy,IT,Lombardia,ITC4,17509461,12002,49096000.0,10010833
Italy,IT,Trentino,ITH2,12222269,13900,0.0,1074034
Italy,IT,Veneto,ITH3,20194655,62461,18404000.0,4884590
Italy,IT,Emilia-Romagna,ITH5,11597928,16592,9905000.0,4459453
Italy,IT,Toscana,ITI1,14346280,16078,8233000.0,3701343
Italy,IT,Lazio,ITI4,12857606,25418,49250000.0,5773076
Italy,IT,Campania,ITF3,6279795,8133,10834000.0,5740291
Italy,IT,Puglia,ITF4,4258308,7995,8294000.0,3975528
Italy,IT,Sicilia,ITG1,5120421,7473,18182000.0,4908548
Portugal,PT,Norte,PT11,6103787,1837,13203000.0,3572583
Portugal,PT,Lisbon,PT17,8302199,1244,31204000.0,2846332
